date,period,word_count,sentiment,relationships_count,work_projects_count,self_reflection_count,emotional_struggle_count,achievement_count
2019-07-14,post_graduation,387,0.05144124168514412,2,2,4,1,1
2019-07-22,post_graduation,246,0.12091543513957306,0,0,3,1,0
2019-07-24,post_graduation,409,0.2119047619047619,2,1,4,1,0
2019-07-30,post_graduation,536,0.17096436058700207,2,4,3,2,3
2019-08-08,post_graduation,265,-0.2694444444444444,1,1,5,0,1
2019-08-11,post_graduation,611,0.20092592592592592,2,6,1,0,3
2019-08-12,post_graduation,689,0.06157131011608628,0,2,5,0,3
2019-08-14,post_graduation,789,0.05022735662270544,3,5,6,0,3
2019-08-22,post_graduation,792,0.03689033189033188,1,4,3,3,2
2019-08-24,post_graduation,170,0.1245098039215686,0,1,1,0,1
2019-08-25,post_graduation,1001,0.07794715447154471,2,3,6,0,2
2019-08-31,post_graduation,784,0.006090294041113716,1,2,4,1,2
2019-09-01,post_graduation,313,0.12060185185185185,0,0,1,1,0
2019-09-01,post_graduation,416,0.0954339750084431,0,1,2,0,0
2019-09-02,post_graduation,470,0.09933107672469375,1,2,4,0,2
2019-09-02,post_graduation,263,0.0910714285714286,1,2,3,0,2
2019-09-05,post_graduation,937,0.03722725086361451,1,1,6,3,0
2019-09-07,post_graduation,1859,0.03864049897266681,6,3,4,3,2
2019-09-07,post_graduation,536,-0.02836491739552963,0,5,3,1,2
2019-09-08,post_graduation,1414,0.11858704229797981,4,5,6,0,3
2019-09-10,post_graduation,438,0.04579667644183773,2,3,4,3,1
2019-09-11,post_graduation,566,0.031144327370742467,1,2,4,1,1
2019-09-17,post_graduation,225,0.12678407451134724,1,3,1,0,0
2019-09-18,post_graduation,335,0.1724909090909091,2,1,2,2,0
2019-09-19,post_graduation,893,0.044794217687074825,4,5,4,3,3
2019-09-21,post_graduation,930,0.060001451800232294,2,3,4,0,4
2019-09-22,post_graduation,514,0.18601190476190474,1,2,2,0,2
2019-09-22,post_graduation,796,0.11231770833333334,1,4,2,1,0
2019-09-23,post_graduation,1361,0.11897694897694894,3,2,4,1,1
2019-09-24,post_graduation,653,0.14279743245260487,0,4,3,1,3
2019-09-25,post_graduation,491,0.011158052831522216,2,3,4,4,2
2019-10-08,post_graduation,463,0.15320075757575755,4,2,2,1,0
2019-12-21,post_graduation,110,-0.024999999999999998,1,1,0,0,0
2019-12-22,post_graduation,767,0.08320481601731602,1,4,4,0,1
2019-12-23,post_graduation,477,0.024198717948717943,1,4,4,2,3
2019-12-24,post_graduation,2245,0.05069713305562363,5,1,4,2,3
2020-01-02,post_graduation,787,0.10796906796906797,4,2,1,0,0
2020-01-03,post_graduation,236,-0.00487463924963925,1,1,0,1,0
2020-01-20,post_graduation,464,0.07877732024073485,0,5,4,0,0
2020-01-31,post_graduation,327,0.07092324342324342,0,1,4,0,0
2020-02-06,post_graduation,265,0.07979166666666666,0,3,2,0,0
2020-02-06,post_graduation,130,-0.06000000000000001,0,2,1,0,0
2020-02-06,post_graduation,530,0.19627370645227785,2,0,3,0,2
2020-02-06,post_graduation,126,0.2523809523809524,0,1,0,0,0
2020-02-06,post_graduation,61,0.30000000000000004,0,0,1,1,2
2020-02-15,post_graduation,131,0.028571428571428564,0,2,0,1,0
2020-02-25,post_graduation,176,-0.002414772727272727,0,1,4,2,1
2020-03-02,post_graduation,232,0.0005303030303030351,0,0,3,0,1
2020-06-27,post_graduation,305,0.18470695970695972,2,0,1,0,1
2020-06-30,post_graduation,1188,0.06923805726437304,5,1,8,4,1
